Number of bases in toehold in MFE,Total free site in Toehold,The overall free site in Toehold in MFE,free site of the branch migration region,overall free site,The G/C ratio in the Toehold region,The free energy of the whole strand I,The free energy of MFE,The number of pairs in the branch migration ,The number of bases remaining in the toehold of the entire strand,The number of hydrogen bonds in MFE,Number of free bases in the ring,Number of free bases in the biggest ring,Bonding of intermediates (number of hydrogen bonds),The amount of intermediates,Whether there are other intermediates,Label(0/1/2)
1.9981,5.080619,4.9943,19.3033,24.383919,0.666666667,-5.97,-5.94,8.8816,2.02876,15.7927,6.992,4.9928,14.07087,0.00251,0,2
4.1439,13.494,13.494,26.7011,40.1951,0.6667,-2.79,-1.97,5.641,4.1439,6.31765,6.7771,6.7771,13.7844,2.9,0.018363,0
4.9542,15.3313,15.3313,23.8371,39.1684,0.67,-2.62,-1.97,6.73263,4.9542,7.4924,6.7633,6.7633,14.3664,0.111,0.0291,0
4.9595,13.8331,13.8331,23.6156,37.4487,0.3333,-2.52,-1.97,6.72575,4.9595,7.85608,6.7877,6.7877,12.30985,0.0154,0.00348,1
4.9406,13.7639,13.7639,23.6941,37.458,0.3333,-2.52,-1.97,6.69936,4.9406,7.75419,6.7361,6.7361,11.93759,0.0755,0.00323,1
2.733,11.8271,7.3901,28.6483,40.4754,0.8333,-3.3,-2.61,5.0129,3.3246,4.82385,2.5734,2.5734,15.4951,0.0006,0.031652,1
4.9653,12.8647,12.8647,23.5877,36.4524,0.1667,-2.51,-1.97,6.73712,4.9653,7.89108,6.7846,6.7846,11.48267,0.00246,0.00353,2
2.879,10.8149,8.637,22.8793,33.6942,0.8333,-3.45,-3.18,7.49992,3.4731,10.4337,6.5898,4.602,15.3739,0.198,0,2
0.9942,12.6886,2.9826,27.1849,39.8735,0.6667,-2.92,-2.1,5.504,3.9246,3.7818,4.2606,4.2606,11.9924,0.89,0.0157,0
4.9628,13.8755,13.8755,23.5202,37.3957,0.3333,-2.5,-1.97,6.75523,4.9628,7.98305,6.8101,6.8101,11.7679,0.0554,0.02023,1
4.6112,13.7779,13.7779,24.4059,38.1838,0.5,-2.61,-1.97,6.5235,4.6112,6.8517,6.3757,6.3757,12.4781,0.0692,0.00282,1
0.9109,11.6234,2.7327,25.3389,36.9623,0.6667,-2.97,-1.98,6.3468,3.4178,3.7548,6.6441,6.6441,14.77674,0.0336,0.0492,1
4.6309,15.5663,15.5663,24.5639,40.1302,0.8333,-2.65,-1.97,6.4442,4.6309,6.96005,6.4419,6.4419,16.1019,1.66,0.00331,0
1.8514,5.25062,4.6978,25.0749,30.32552,0.3333,-4.48,-4.26,6.95589,2.06496,11.2218,3.8854,3.8854,7.828754,0.000515,0.00255,2
4.7591,13.4158,13.4158,23.8683,37.2841,0.3333,-2.53,-1.97,6.66799,4.7591,7.55029,6.6081,6.6081,12.55735,0.01,0.00339,1
4.9558,15.3381,15.3381,23.8817,39.2198,0.6667,-2.62,-1.97,6.71068,4.9558,7.50922,6.7631,6.7631,14.1369,0.429,0.0264,0
1.6724,5.68751,5.0172,24.4478,30.13531,0.5,-4.37,-3.95,7.10314,1.92517,11.0863,3.8664,3.8664,12.43414,0.00343,0.00246,2
4.8859,14.2284,14.2284,24.1257,38.3541,0.6667,-2.69,-1.97,6.6554,4.8859,7.19705,6.7085,6.7085,14.4765,0.63,0.0396,0
2.8958,13.572,8.6874,28.1445,41.7165,1,-3.17,-2.57,5.15635,3.6686,4.48223,2.4693,2.4693,17.3568,6.26,0.10956,0
3.9826,11.8218,9.9546,23.7976,35.6194,0.5,-3.19,-2.28,6.63825,4.4437,7.70628,8.4745,8.4745,12.8678,0.00369,0.277,1
4.5101,13.4955,13.4955,24.3921,37.8876,0.5,-2.66,-1.97,6.4656,4.5101,7.01065,6.5216,6.5216,13.0897,0.968,0.005827,1
2.9822,11.7623,6.9557,28.2087,39.971,0.6667,-3.44,-2.57,5.13418,3.7176,4.55277,2.482,2.482,14.2327,0.235,0.0908,1
2.4919,7.70384,6.7295,22.8911,30.59494,0.6667,-4.44,-3.65,7.2581,2.61968,10.8654,5.1209,4.1411,14.06859,0.0321,0.00409,2
4.8835,14.5878,14.5878,23.712,38.2998,0.5,-2.55,-1.97,6.69457,4.8835,7.71171,6.7521,6.7521,12.9331,0.107,0.0037,1
4.8807,15.2585,15.2585,23.8301,39.0886,0.6667,-2.58,-1.97,6.68372,4.8807,7.56193,6.6307,6.6307,15.117,0.249,0.0243,1
0.9518,11.131,1.9036,25.8997,37.0307,0.5,-3.21,-2,5.9944,3.983,2.64645,3.2944,3.2944,13.3308,0.058,0.10301,1
4.9546,13.8745,13.8745,23.3963,37.2708,0.3333,-2.5,-1.97,6.79703,4.9546,8.04075,6.83,6.83,12.49107,0.0133,0.00342,1
4.5205,13.6147,13.6147,24.0516,37.6663,0.5,-2.59,-1.97,6.6521,4.5205,7.01465,6.3249,6.3249,12.6691,0.694,0.00647,1
3.8463,12.8286,12.8286,25.8126,38.6412,0.6667,-2.78,-1.97,6.10324,3.8463,5.95716,6.129,6.129,14.3202,0.358,0.00363,1
4.9432,15.8228,15.8228,23.4748,39.2976,0.6667,-2.51,-1.97,6.77102,4.9432,7.98113,6.8264,6.8264,13.5718,1.18,0.00345,0
4.8442,15.2012,15.2012,23.8897,39.0909,0.6667,-2.59,-1.97,6.67206,4.8442,7.46644,6.5732,6.5732,14.8759,0.153,0.00362,1
